[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 103: was 0x00000000fef02d20
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 108: was 0x00000000fef02ec8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.security.SecureClassLoader archived mirror 0x00000000fef02ec8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 322: was 0x00000000fef09128
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.ReflectiveOperationException archived mirror 0x00000000fef09128
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 153: was 0x00000000fef04190
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.ClassNotFoundException archived mirror 0x00000000fef04190
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 154: was 0x00000000fef04210
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 139: was 0x00000000fef03b90
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.Record archived mirror 0x00000000fef03b90
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 158: was 0x00000000fef04390
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.LinkageError archived mirror 0x00000000fef04390
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 167: was 0x00000000fef047c8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.NoClassDefFoundError archived mirror 0x00000000fef047c8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 152: was 0x00000000fef04118
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.ClassCastException archived mirror 0x00000000fef04118
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 151: was 0x00000000fef040a0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.ArrayStoreException archived mirror 0x00000000fef040a0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 170: was 0x00000000fef04930
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.VirtualMachineError archived mirror 0x00000000fef04930
